Make,Passenger_Volume,SUV_Volume
Alfa Romeo,31,0
Aston Martin,2,0
Audi,240,220
Bentley,2,0
BMW,239,158
Chery,9,31
Chrysler,2,0
Citroen,64,0
Dodge,32,3
Ferrari,3,0
Fiat,17,0
Ford,1054,268
Holden,1754,507
Honda,486,64
Hyundai,1441,276
Jaguar,28,0
Jeep,0,302
Kia,617,152
Lamborghini,1,0
Land Rover,0,228
Lexus,152,40
Lotus,2,0
Maserati,6,0
Mazda,2162,535
Mercedes-Benz,224,20
MINI,24,21
Mitsubishi,505,487
Morgan,1,0
Nissan,228,730
Peugeot,90,19
Porsche,12,34
Proton,18,0
Renault,29,8
Skoda,51,17
Smart,4,0
Ssangyong,2,16
Subaru,462,828
Suzuki,334,114
Toyota,2549,1237
Volkswagen,814,176
Volvo Car,65,123